Date,.RUA,ACWX.O,AGG
2006-10-02,768.0127,,99.84
2006-10-03,769.2178,,99.82
2006-10-04,779.2853,,100.21
2006-10-05,782.4943,,99.9
2006-10-06,780.1441,,99.53
2006-10-09,781.7288,,99.74
2006-10-10,783.352,,99.35
2006-10-11,781.1299,,99.24
2006-10-12,789.584,,99.34
2006-10-13,791.663,,99.09
2006-10-16,794.3427,,99.25
2006-10-17,790.9402,,99.4
2006-10-18,791.6912,,99.52
2006-10-19,792.4736,,99.47
2006-10-20,792.4547,,99.44
2006-10-23,796.9606,,99.15
2006-10-24,797.0135,,99.26
2006-10-25,799.8903,,99.5
2006-10-26,804.7543,,99.84
2006-10-27,797.7277,,100.04
2006-10-30,798.5004,,100.06
2006-10-31,798.0485,,100.43
2006-11-01,791.1446,,100.18
2006-11-02,790.6875,,100.07
2006-11-03,789.5116,,99.55
2006-11-06,798.699,,99.55
2006-11-07,800.4243,,99.8
2006-11-08,802.6265,,100.07
2006-11-09,798.131,,100.1
2006-11-10,800.455,,100.32
2006-11-13,802.6121,,100.2
2006-11-14,808.5377,,100.34
2006-11-15,811.2082,,100.15
2006-11-16,812.7396,,100.06
2006-11-17,813.1313,,100.32
2006-11-20,813.1907,,100.3899
2006-11-21,814.8098,,100.52
2006-11-22,816.9967,,100.64
2006-11-24,814.5231,,100.69
2006-11-27,802.0784,,100.64
2006-11-28,804.7379,,100.91
2006-11-29,812.4918,,100.76
2006-11-30,813.5711,,101.07
2006-12-01,811.347,,100.86
2006-12-04,819.4384,,100.96
2006-12-05,822.6111,,100.9
2006-12-06,821.5513,,100.82
2006-12-07,818.2618,,100.73
2006-12-08,819.5357,,100.52
2006-12-11,821.2089,,100.58
2006-12-12,819.6268,,100.78
2006-12-13,820.3063,,100.47
2006-12-14,827.0139,,100.33
2006-12-15,827.476,,100.31
2006-12-18,823.8548,,100.37
2006-12-19,825.3333,,100.44
2006-12-20,824.7293,,100.4
2006-12-21,821.5568,,100.6
2006-12-22,817.4998,,100.51
2006-12-26,821.4379,,100.48
2006-12-27,827.5003,,99.84
2006-12-28,826.1306,,99.71
2006-12-29,822.1356,,99.7
2007-01-03,821.6111,,99.91
2007-01-04,823.1222,,100.12
2007-01-05,817.205,,100.05
2007-01-08,819.0254,,100.11
2007-01-09,819.1516,,100.11
2007-01-10,821.1976,,100.0
2007-01-11,827.3004,,99.8101
2007-01-12,831.6388,,99.67
2007-01-16,832.0122,,99.82
2007-01-17,831.0499,,99.74
2007-01-18,827.429,,99.88
2007-01-19,830.412,,99.84
2007-01-22,825.7943,,99.89
2007-01-23,829.1673,,99.7
2007-01-24,836.5843,,99.67
2007-01-25,827.2491,,99.54
2007-01-26,826.9496,,99.53
2007-01-29,826.9476,,99.4
2007-01-30,831.5581,,99.55
2007-01-31,836.9644,,99.63
2007-02-01,841.8781,,99.29
2007-02-02,843.4115,,99.43
2007-02-05,842.5699,,99.59
2007-02-06,843.7802,,99.78
2007-02-07,845.7824,,99.9
2007-02-08,844.9152,,99.96
2007-02-09,838.4335,,99.73
2007-02-12,835.44,,99.63
2007-02-13,841.9668,,99.62
2007-02-14,847.9893,,100.0
2007-02-15,849.1664,,100.14
2007-02-16,848.9832,,100.21
2007-02-20,852.4188,,100.26
2007-02-21,851.6196,,100.25
2007-02-22,850.9737,,100.05
2007-02-23,848.1485,,100.29
2007-02-26,846.597,,100.51
2007-02-27,817.4218,,100.92
2007-02-28,821.5143,,100.86
2007-03-01,819.345,,100.44
2007-03-02,809.0847,,100.65
2007-03-05,799.9196,,100.59
2007-03-06,813.0433,,100.52
2007-03-07,810.9873,,100.6
2007-03-08,816.7743,,100.51
2007-03-09,817.8412,,100.23
2007-03-12,820.3157,,100.54
2007-03-13,803.3839,,100.8
2007-03-14,808.4502,,100.68
2007-03-15,812.2902,,100.57
2007-03-16,808.8832,,100.58
2007-03-19,817.6718,,100.51
2007-03-20,823.1671,,100.61
2007-03-21,836.9757,,100.74
2007-03-22,836.8479,,100.55
2007-03-23,837.7995,,100.41
2007-03-26,838.2485,,100.35
2007-03-27,833.0331,,100.37
2007-03-28,826.8261,,100.42
2007-03-29,829.4599,,100.35
2007-03-30,829.0564,,100.26
2007-04-02,831.2856,,100.0
2007-04-03,839.0798,,99.9
