Date,CLOSE
2006-01-03,1268.8004
2006-01-04,1273.4593
2006-01-05,1273.483
2006-01-06,1285.4538
2006-01-09,1290.1537
2006-01-10,1289.6871
2006-01-11,1294.1786
2006-01-12,1286.0561
2006-01-13,1287.6053
2006-01-17,1282.9343
2006-01-18,1277.9332
2006-01-19,1285.0441
2006-01-20,1261.4854
2006-01-23,1263.8248
2006-01-24,1266.8629
2006-01-25,1264.6827
2006-01-26,1273.8252
2006-01-27,1283.7223
2006-01-30,1285.1955
2006-01-31,1280.0849
2006-02-01,1282.4585
2006-02-02,1270.8368
2006-02-03,1264.03
2006-02-06,1265.023
2006-02-07,1254.7813
2006-02-08,1265.6501
2006-02-09,1263.7751
2006-02-10,1266.9901
2006-02-13,1262.8555
2006-02-14,1275.5301
2006-02-15,1280.0016
2006-02-16,1289.3813
2006-02-17,1287.2426
2006-02-21,1283.0256
2006-02-22,1292.671
2006-02-23,1287.7893
2006-02-24,1289.4308
2006-02-27,1294.1217
2006-02-28,1280.6643
2006-03-01,1291.2424
2006-03-02,1289.1408
2006-03-03,1287.2312
2006-03-06,1278.258
2006-03-07,1275.8778
2006-03-08,1278.4748
2006-03-09,1272.2331
2006-03-10,1281.5767
2006-03-13,1284.1332
2006-03-14,1297.4785
2006-03-15,1303.0232
2006-03-16,1305.3322
2006-03-17,1307.2506
2006-03-20,1305.0841
2006-03-21,1297.2332
2006-03-22,1305.0413
2006-03-23,1301.6735
2006-03-24,1302.9535
2006-03-27,1301.6051
2006-03-28,1293.2254
2006-03-29,1302.8929
2006-03-30,1300.2474
2006-03-31,1294.8278
2006-04-03,1297.8128
2006-04-04,1305.935
2006-04-05,1311.5584
2006-04-06,1309.0417
2006-04-07,1295.4988
2006-04-10,1296.6047
2006-04-11,1286.5747
2006-04-12,1288.1249
2006-04-13,1289.118
2006-04-17,1285.3307
2006-04-18,1307.6451
2006-04-19,1309.9306
2006-04-20,1311.4564
2006-04-21,1311.2836
2006-04-24,1308.113
2006-04-25,1301.7414
2006-04-26,1305.4063
2006-04-27,1309.7173
2006-04-28,1310.612
2006-05-01,1305.1933
2006-05-02,1313.2109
2006-05-03,1307.8495
2006-05-04,1312.2525
2006-05-05,1325.7608
2006-05-08,1324.6628
2006-05-09,1325.14
2006-05-10,1322.852
2006-05-11,1305.9243
2006-05-12,1291.2392
2006-05-15,1294.5038
2006-05-16,1292.0814
2006-05-17,1270.3215
2006-05-18,1261.8126
2006-05-19,1267.0304
2006-05-22,1262.0715
2006-05-23,1256.5809
2006-05-24,1258.5654
2006-05-25,1272.8806
2006-05-26,1280.1609
2006-05-30,1259.8415
2006-05-31,1270.0899
2006-06-01,1285.7138
2006-06-02,1288.2182
2006-06-05,1265.2859
2006-06-06,1263.8489
2006-06-07,1256.1532
2006-06-08,1257.9277
2006-06-09,1252.2982
2006-06-12,1236.4041
2006-06-13,1223.6928
2006-06-14,1230.0431
2006-06-15,1256.1635
2006-06-16,1251.5443
2006-06-19,1240.1377
2006-06-20,1240.124
2006-06-21,1252.2047
2006-06-22,1245.5972
2006-06-23,1244.5044
2006-06-26,1250.5612
2006-06-27,1239.2018
2006-06-28,1246.0032
2006-06-29,1272.8673
2006-06-30,1270.2044
2006-07-03,1280.1889
2006-07-05,1270.9053
2006-07-06,1274.0819
2006-07-07,1265.4765
2006-07-10,1267.3375
2006-07-11,1272.5229
2006-07-12,1258.6016
2006-07-13,1242.2889
2006-07-14,1236.1991
2006-07-17,1234.49
2006-07-18,1236.8639
2006-07-19,1259.8124
2006-07-20,1249.1336
2006-07-21,1240.2911
2006-07-24,1260.9098
2006-07-25,1268.8797
2006-07-26,1268.3999
2006-07-27,1263.197
2006-07-28,1278.5453
2006-07-31,1276.6604
2006-08-01,1270.9175
2006-08-02,1278.5491
2006-08-03,1280.269
2006-08-04,1279.3625
2006-08-07,1275.7656
2006-08-08,1271.479
2006-08-09,1265.9495
2006-08-10,1271.8082
2006-08-11,1266.7431
2006-08-14,1268.2139
2006-08-15,1285.5777
2006-08-16,1295.4262
2006-08-17,1297.4777
2006-08-18,1302.304
2006-08-21,1297.5234
2006-08-22,1298.822
2006-08-23,1292.9931
2006-08-24,1296.0637
2006-08-25,1295.0877
2006-08-28,1301.7845
2006-08-29,1304.2807
2006-08-30,1304.2662
2006-08-31,1303.8185
2006-09-01,1311.011
2006-09-05,1313.2481
2006-09-06,1300.2594
2006-09-07,1294.0153
2006-09-08,1298.9186
2006-09-11,1299.5417
2006-09-12,1313.114
2006-09-13,1318.0674
2006-09-14,1316.2835
2006-09-15,1319.8655
2006-09-18,1321.183
2006-09-19,1318.3094
2006-09-20,1325.1751
2006-09-21,1318.0331
2006-09-22,1314.7773
2006-09-25,1326.372
2006-09-26,1336.3428
2006-09-27,1336.5907
2006-09-28,1339.1461
2006-09-29,1335.847
2006-10-02,1331.3234
2006-10-03,1334.1142
2006-10-04,1350.2175
2006-10-05,1353.2176
2006-10-06,1349.5835
2006-10-09,1350.6617
2006-10-10,1353.4206
2006-10-11,1349.9535
2006-10-12,1362.8274
2006-10-13,1365.6153
2006-10-16,1369.0547
2006-10-17,1364.0485
2006-10-18,1365.9619
2006-10-19,1366.962
2006-10-20,1368.5982
2006-10-23,1377.023
2006-10-24,1377.375
2006-10-25,1382.2247
2006-10-26,1389.0848
2006-10-27,1377.3396
2006-10-30,1377.9288
2006-10-31,1377.9426
2006-11-01,1367.8067
2006-11-02,1367.3421
2006-11-03,1364.2969
2006-11-06,1379.7831
2006-11-07,1382.8431
2006-11-08,1385.717
2006-11-09,1378.3341
2006-11-10,1380.8972
2006-11-13,1384.4197
2006-11-14,1393.2196
2006-11-15,1396.5709
2006-11-16,1399.7625
2006-11-17,1401.2039
2006-11-20,1400.4998
2006-11-21,1402.8141
2006-11-22,1406.0911
2006-11-24,1400.9473
2006-11-27,1381.9042
2006-11-28,1386.7244
2006-11-29,1399.4842
2006-11-30,1400.6344
2006-12-01,1396.713
2006-12-04,1409.1187
2006-12-05,1414.758
2006-12-06,1412.8997
2006-12-07,1407.2903
2006-12-08,1409.8427
2006-12-11,1413.0382
2006-12-12,1411.56
2006-12-13,1413.2143
2006-12-14,1425.4857
2006-12-15,1427.0858
2006-12-18,1422.4766
2006-12-19,1425.5514
2006-12-20,1423.5262
2006-12-21,1418.3042
2006-12-22,1410.7648
2006-12-26,1416.904
2006-12-27,1426.8358
2006-12-28,1424.7255
2006-12-29,1418.3005
2007-01-03,1416.602
2007-01-04,1418.3412
2007-01-05,1409.7071
2007-01-08,1412.8428
2007-01-09,1412.1136
2007-01-10,1414.8499
2007-01-11,1423.825
2007-01-12,1430.7326
2007-01-16,1431.9028
2007-01-17,1430.6187
2007-01-18,1426.3686
2007-01-19,1430.5036
2007-01-22,1422.955
2007-01-23,1427.9887
2007-01-24,1440.1313
2007-01-25,1423.9036
2007-01-26,1422.1824
2007-01-29,1420.6209
2007-01-30,1428.8188
2007-01-31,1438.2429
2007-02-01,1445.9445
2007-02-02,1448.3902
2007-02-05,1446.9874
2007-02-06,1447.997
2007-02-07,1450.0158
2007-02-08,1448.3069
2007-02-09,1438.061
2007-02-12,1433.3719
2007-02-13,1444.2629
2007-02-14,1455.3011
2007-02-15,1456.8125
2007-02-16,1455.538
2007-02-20,1459.6842
2007-02-21,1457.6277
2007-02-22,1456.3814
2007-02-23,1451.194
2007-02-26,1449.3748
2007-02-27,1399.0423
2007-02-28,1406.819
2007-03-01,1403.1669
2007-03-02,1387.1657
2007-03-05,1374.1224
2007-03-06,1395.4081
2007-03-07,1391.9671
2007-03-08,1401.8919
2007-03-09,1402.8464
2007-03-12,1406.6015
2007-03-13,1377.95
2007-03-14,1387.1715
2007-03-15,1392.2792
2007-03-16,1386.9451
2007-03-19,1402.0584
2007-03-20,1410.9363
2007-03-21,1435.0425
2007-03-22,1434.5365
2007-03-23,1436.1126
2007-03-26,1437.4962
2007-03-27,1428.6093
2007-03-28,1417.228
2007-03-29,1422.5319
2007-03-30,1420.8638
2007-04-02,1424.5541
2007-04-03,1437.7742
2007-04-04,1439.3662
2007-04-05,1443.7556
2007-04-09,1444.6085
2007-04-10,1448.3867
2007-04-11,1438.8714
2007-04-12,1447.8023
2007-04-13,1452.8458
2007-04-16,1468.4736
2007-04-17,1471.481
2007-04-18,1472.5035
2007-04-19,1470.734
2007-04-20,1484.3504
2007-04-23,1480.9314
2007-04-24,1480.4101
2007-04-25,1495.4177
2007-04-26,1494.2504
2007-04-27,1494.0676
2007-04-30,1482.3673
2007-05-01,1486.3035
2007-05-02,1495.9184
2007-05-03,1502.3907
2007-05-04,1505.6169
2007-05-07,1509.4838
2007-05-08,1507.7186
2007-05-09,1512.5796
2007-05-10,1491.4694
2007-05-11,1505.8456
2007-05-14,1503.1463
2007-05-15,1501.1868
2007-05-16,1514.143
2007-05-17,1512.7488
2007-05-18,1522.748
2007-05-21,1525.1013
2007-05-22,1524.118
2007-05-23,1522.2754
2007-05-24,1507.5115
2007-05-25,1515.7337
